,date,team_1,team_2,win_1,win_2
574,2012-03-24,GER,MDA,True,False
575,2012-03-24,MEX,JAM,True,False
576,2012-03-31,ROU,UKR,True,False
577,2012-04-06,TUN,UAE,True,False
578,2012-04-07,AND,ARM,True,False
579,2012-04-07,BEL,POL,True,False
580,2012-04-07,NED,MDA,True,False
581,2012-04-07,VIN,BAR,False,True
582,2012-04-07,JAM,CAY,True,False
583,2012-04-14,SRB,AND,False,True
584,2012-04-14,ARM,SUI,False,True
585,2012-04-15,SRI,TPE,True,False
586,2012-04-15,SGP,PHI,False,True
587,2012-04-18,PHI,TPE,True,False
588,2012-04-18,SRI,SGP,True,False
589,2012-04-21,HUN,ISR,False,True
590,2012-04-21,CAY,MEX,True,False
591,2012-04-21,SRI,PHI,False,True
592,2012-04-21,SGP,TPE,False,True
593,2012-04-21,MLT,SWE,True,False
594,2012-04-21,DEN,AUT,True,False
595,2012-04-21,NED,POL,False,True
596,2012-04-21,UGA,KEN,True,False
597,2012-04-21,LUX,FIN,True,False
598,2012-04-21,BAR,VIN,True,False
599,2012-04-25,QAT,UZB,True,False
600,2012-04-25,JOR,LIB,False,True
601,2012-04-27,UAE,HKG,False,True
602,2012-04-27,JOR,UZB,True,False
603,2012-04-27,LIB,QAT,False,True
604,2012-04-28,LAT,LTU,False,True
605,2012-04-28,CRO,MLT,True,False
606,2012-04-28,KEN,UGA,True,False
607,2012-04-28,ARM,SRB,False,True
608,2012-04-28,KAZ,JPN,False,True
609,2012-04-28,BUL,CYP,False,True
610,2012-04-29,SVK,TUR,False,True
611,2012-05-05,HKG,KOR,False,True
612,2012-05-05,JPN,UAE,True,False
613,2012-05-05,LTU,CRO,True,False
614,2012-05-05,NOR,AUT,True,False
615,2012-05-05,SWE,LAT,True,False
616,2012-05-05,LUX,GRE,True,False
617,2012-05-05,TTO,BAR,True,False
618,2012-05-11,UAE,KAZ,True,False
619,2012-05-12,SLO,ARM,True,False
620,2012-05-12,KOR,JPN,False,True
621,2012-05-19,BER,CAY,True,False
622,2012-05-19,NOR,HUN,False,True
623,2012-05-19,KAZ,KOR,False,True
624,2012-05-19,JPN,HKG,True,False
625,2012-05-19,RUS,ESP,True,False
626,2012-05-20,ARG,URU,True,False
627,2012-05-20,CHI,BRA,True,False
628,2012-05-23,ARG,BRA,True,False
629,2012-05-23,CHI,URU,False,True
630,2012-05-26,CAY,BAH,True,False
631,2012-05-26,ARG,CHI,True,False
632,2012-05-26,URU,BRA,True,False
633,2012-05-26,FIN,BUL,False,True
634,2012-05-26,AND,CRO,False,True
635,2012-05-26,HKG,KAZ,True,False
636,2012-05-26,KOR,UAE,True,False
637,2012-05-26,CYP,GRE,True,False
638,2012-05-27,ENG,BNS,True,False
639,2012-05-29,IRE,BNS,False,True
640,2012-05-30,IND,PAK,True,False
641,2012-05-30,GUM,INA,True,False
642,2012-05-31,MAS,CHN,True,False
643,2012-05-31,THA,IRI,True,False
644,2012-06-01,INA,PAK,True,False
645,2012-06-01,GUM,IND,False,True
646,2012-06-02,MAS,THA,False,True
647,2012-06-02,ISR,DEN,True,False
648,2012-06-02,WAL,BNS,True,False
649,2012-06-02,GUY,TTO,True,False
650,2012-06-02,CHN,IRI,False,True
651,2012-06-05,SAM,TGA,True,False
652,2012-06-05,AUS,SCO,False,True
653,2012-06-05,FIJ,JPN,True,False
654,2012-06-06,TUN,ALG,True,False
655,2012-06-08,ROU,URU,True,False
656,2012-06-08,RUS,ITA,False,True
657,2012-06-08,POR,ArJ,False,True
658,2012-06-09,BAH,BER,False,True
659,2012-06-09,ARG,ITA,True,False
660,2012-06-09,CAN,USA,True,False
661,2012-06-09,FIN,CYP,False,True
662,2012-06-09,UKR,GEO,False,True
663,2012-06-09,DEN,SLO,True,False
664,2012-06-09,AUS,WAL,True,False
